,,,
,,,
,DESCRITIVO DE CAMPANHA,São Paulo,São Paulo
,Talento,Dennys Motta,Babi Muniz
,Username,@dennysmotta,@babimu
,Seguidores Insta,390K,3 mi
,Stories contratados,5,5
,Posts contratados,1,1
,Valor Total Talentos,"R$ 6.000,00","R$ 12.000,00"
,Comissão Papoon,"R$ 1.500,00","R$ 3.000,00"
,Briefing passado para talento?,sim,sim
,Captação de conteúdo feita?,sim,sim
,Post 1 ,sim,sim
,Stories 1,sim, sim
,Stories 2 ,sim,sim
,Stories 3 ,sim,sim
,Stories 4,sim,sim
,Stories 5,sim,sim
,Campanha entregue?,sim,sim
,Insights Encaminhados?,sim,
,Report final gerado?,,
,NF e boleto emitidos?,sim,sim
,Pagamento realizado?,sim,sim